Victim Name,Group Name,Date Published,Country,Description,Website,Activity,Post URL,Discovered,is_k12
EAGLE School,qilin,2024-08-13 00:00:00.000000,US,"EAGLE School is an independent, kindergarten through eighth grade school dedicated to serving gifted and talented students.
We focus on providing a challenging academic curriculum along with supportive social-emotional guidance. All classes             ...",www.eagleschool.org,Public Sector,http://kbsqoivihgdmwczmxkbovk7ss2dcynitwhhfu5yw725dboqo5kthfaad.onion/site/view?uuid=7f05576b-6670-3a68-b934-79a3f9be28e6,2024-09-15 15:33:22.223283,True
Providence Public School Department,medusa,2024-09-16 14:24:58.000000,US,"The Providence Public School Department is the administrative force behind the primary public school district of Providence, Rhode Island. It serves about 21,700 students in pre-K through 12th grade. It has 21 elementary schools, seven middle schools and nine high schools, along with two public charter schools. The total amount of data leakage is 201.40 GB ",providenceschools.org,Public Sector,http://cx5u7zxbvrfyoj6ughw76oa264ucuuizmmzypwum6ear7pct4yc723qd.onion/detail?id=945a2abdbd123b24a588ff3ce7117833,2024-09-18 14:01:16.635425,True
Shenango Area School District,rhysida,2024-09-26 21:06:21.837005,US,"Shenango Area School District The Shenango Area School District is located in southern Lawrence County, conveniently situated 45 miles north of Pittsburgh and 90 miles south of Erie.  The district encompasses 25 square miles, which includes both Shenango Township and South New Castle Borough.    More",,Public Sector,http://rhysidafohrhyy2aszi7bm32tnjat5xri65fopcxkdfxhi4tidsg7cad.onion/archive.php?company=134,2024-09-26 21:06:22.721462,True
"Orbit Software, Inc.",dragonforce,2024-10-08 06:56:40.422159,US,"Orbit Software specializes in providing user friendly, cutting edge software programs for generating and managing school bus routes.  We also provide hardware used for GPS tracking of vehicles & students.",www.busboss.com,Technology,,2024-10-09 09:29:00.605537,True
www.chiltonisd.org,ransomhub,2024-10-17 12:49:37.000000,US,"Chilton Independent School District is an educational organization located in Chilton, Texas. It serves the local community by providing K-12 education. The district is committed to fostering a supportive and challenging learning environment, aiming to empower students with the essential skills and knowledge for future success. Chilton ISD emphasizes academic excellence, extracurricular engagement, and community involvement.",www.chiltonisd.org,Public Sector,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/2d2de1cc-e32c-485a-b5a7-8f42f59e996f/,2024-10-17 15:19:39.561530,True
rcschools.net,blacksuit,2024-10-19 21:08:45.630409,US,"RCSchools.net represents Rutherford County Schools, a public school district in Tennessee. The district serves a diverse student population, providing education from pre-kindergarten through 12th grade. It emphasizes academic excellence, innovative teaching, and community involvement. The district offers various programs, including advanced academics, arts, and athletics, to support student development and success.",www.rcschools.net,Public Sector,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=abuaVzFuQcL2lSXA,2024-10-19 21:08:47.400657,True
Goshen Central School District (gcsny.org),fog,2024-10-23 00:00:00.000000,US,10 GB,gcsny.org,Public Sector,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/6718f827ffa6d0708588bc99/,2024-10-23 14:30:47.971586,True
Evergreen Local School District (evgvikings.org),fog,2024-10-25 00:00:00.000000,US,"5,1 GB",evgvikings.org,Public Sector,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/671b87eaffa6d0708588beb9/,2024-10-25 13:10:45.581201,True
Mastery Schools,dragonforce,2024-10-25 20:09:19.600563,US,"Founded in 2001, Mastery Charter Schools is a charter school network in Philadelphia, Pennsylvania and Camden, New Jersey.",www.masterycharter.org,Education,,2024-10-29 04:39:37.350660,True
Jordan Public Schools (https://www.jordan.k12.mn.us/),fog,2024-10-29 00:00:00.000000,US,11 GB,jordan.k12.mn.us,Education,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/6720d8b8ffa6d0708588c0fb/,2024-10-29 13:43:35.442709,True
Spirit Lake Community School District,medusa,2024-10-29 15:19:44.000000,US,"The Spirit Lake Community School District is a rural public school district based in Spirit Lake, Iowa, United States. The district includes three schools: Spirit Lake High School, Spirit Lake Middle School, Spirit Lake Elementary School. At the beginning of 2024, the number of students enrolled was 1304 people, the number of teachers was 100 people.",spirit-lake.k12.ia.us,Education,http://cx5u7zxbvrfyoj6ughw76oa264ucuuizmmzypwum6ear7pct4yc723qd.onion/detail?id=786a0ce739f4bd3b058bd9b9626e1515,2024-10-29 21:52:42.689830,True
Cape Cod Regional Technical High School (capetech.us),fog,2024-11-06 00:00:00.000000,US,6 GB,,Education,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/672b7b7affa6d0708588c284/,2024-11-06 15:17:15.137363,True
Winnebago Public School Foundation,interlock,2024-11-07 11:14:04.839051,US,"Winnebago Public School Foundation Inc is a company that employs 20 to 49 people and has 1Mto5M of revenue. The company is headquartered in Winnebago.
							In your disposition , personal data of employees and students, SQL databases.",winnebagopublicschools.org,Education,http://ebhmkoohccl45qesdbvrjqtyro2hmhkmh6vkyfyjjzfllm3ix72aqaid.onion/leaks.phphttp://hp4fxytyky26q3kpgqlhewhrazaag5wg4jsaiwxlv3lkd7r7rmsamqyd.onion/index.php?p=,2024-11-07 11:14:06.006864,True
Granite School District,rhysida,2024-09-20 00:00:00.000000,US,"Granite School District The Granite School District is a public school district spread across central Salt Lake County, Utah, serving West Valley City, Millcreek, Taylorsville, South Salt Lake, and Holladay; Kearns and Magna Townships; and parts of West Jordan, Murray and Cottonwood Heights.",graniteschools.org,Education,,2024-11-09 10:50:36.416814,True
marysville.k12.oh.us,blacksuit,2024-10-28 00:00:00.000000,US,"[AI generated] Marysville.k12.oh.us is the domain for the Marysville Exempted Village School District located in Marysville, Ohio. The district serves a diverse student population with a focus on providing quality education through various academic programs, extracurricular activities, and community involvement. It emphasizes innovation, technology integration, and personalized learning to prepare students for future success.",www.marysville.k12.oh.us,Education,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=s0WkNH5bav4Xvlf7,2024-11-15 19:01:24.117850,True
bartow.k12.ga.us,chort,2024-11-17 10:24:16.875786,US,Status: Published - details:  Databases + Files of This Company ,,Education,http://hgxyonufefcglpekxma55fttev3lcfucrf7jvep2c3j6447cjroadead.onion/comp/bartow.k12.ga.us/index,2024-11-17 10:24:17.402365,True
Burkburnett Independent School District,fog,2024-11-19 00:00:00.000000,US,1 GB,,Education,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/673cb439ffa6d0708588c4c5/,2024-11-19 18:09:39.421375,True
Bishop Ireton High School,rhysida,2024-11-20 20:17:15.199978,US,"Bishop Ireton High School Bishop Ireton High School, a Catholic preparatory high school located in historic Alexandria, Va., began its proud heritage of academic excellence in 1964.",bishopireton.org,Education,,2024-11-20 20:17:16.695727,True
maynard.k12.ma.us,ransomhub,2024-11-25 16:04:29.000000,US,"[AI generated] Maynard.k12.ma.us is the official website for the Maynard Public Schools, a school district in Maynard, Massachusetts. The district oversees public education for the town, offering educational programs from kindergarten through high school. It focuses on fostering a supportive learning environment, emphasizing academic excellence, community involvement, and student development.",k12.ma,Education,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/e08ac702-da22-4ed7-a4b9-1b6d575c2962/,2024-11-25 16:43:26.701233,True
isd109.org,ransomhub,2024-11-25 14:53:12.000000,US,"[AI generated] isd109.org is the website for Winthrop Harbor School District 109, located in Winthrop Harbor, Illinois. The district serves the educational needs of students in the community, offering programs from early childhood through middle school. It emphasizes a supportive learning environment, with a focus on academic excellence, character development, and community engagement. The district is committed to providing quality education and fostering growth for all students.",isd109.org,Education,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/421b8b1c-1ed6-4a20-97ad-4be946eef799/,2024-11-25 16:57:34.429242,True
Vermilion Parish School System,rhysida,2024-11-27 06:17:21.049603,US,"Vermilion Parish School System Vermilion Parish School Board is a school district headquartered in Abbeville, Louisiana, United States. It was established in 1876.    More",vpsb.net,Education,http://grhysidafc6lm7qa2mkiukbezh7zuth3i4wof4mh2audkymscjm6yegad.onion/archive.php?company=146,2024-11-27 06:17:21.938142,True
Grandview School District,blacksuit,2024-10-08 00:00:00.000000,US,"The Grandview School District, with families and the community, will put students first by providing a high-quality education. GSD will nurture and empower each student to reach their full potential. We commit to empower each student to reach their full potential by ¡cultivating una cultura de success! The Grandview School District consists of three elementary schools, one middle school, one high school, and a contract learning center.",www.gsd200.org,Education,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=qRTUFkTfZLkSHKEi,2024-11-27 20:45:49.855226,True
elwood.k12.in.us,safepay,2024-11-28 08:13:22.870551,US,Revenue $5 Million,elwood.k12.in.us,Education,,2024-11-28 08:13:24.088553,True
Bedminster School (bedminsterschool.org),fog,2024-11-28 12:51:41.306124,US,,bedminsterschool.org,Education,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/674856b6ffa6d0708588ca3e/,2024-11-28 12:51:42.334540,True
www.d47.org,ransomhub,2024-10-31 19:10:42.000000,US,"[AI generated] www.d47.org is the website for Crystal Lake Elementary District 47, a public school district serving Crystal Lake and parts of Lakewood and Lake in the Hills in Illinois. The district provides education for students in kindergarten through eighth grade. It focuses on fostering a supportive and inclusive environment, emphasizing academic excellence, and offers various programs to support student development and community engagement.",d47.org,Education,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/6870f330-1905-4a32-89f9-b0bd8a3b9200/,2024-12-04 14:46:52.959999,True
Rutherford County Schools,rhysida,2024-12-11 11:30:47.696166,US,"Rutherford County Schools Rutherford County Schools is a school district based in Murfreesboro, Tennessee, United States.",rcschools.net,Education,,2024-12-11 11:30:48.087903,True
